store_code_name,store_code,store_town,state
LKST2887-Nashik_Deolali,LKST2887,Nashik,Maharashtra
LKST2888-Gorakhpur_Gorakhnath mandir,LKST2888,Gorakhpur,Uttar Pradesh
LKST2889-Gurdaspur_Jail rd,LKST2889,GURDASPUR,Punjab
LKST2890-Haridwar_Jwalapur_Station Road,LKST2890,HARIDWAR,Uttarakhand
LKST2892-Badnera road_Amravati,LKST2892,Amravati,Maharashtra
LKST2896-Patna_Patna City Beside V Mart,LKST2896,Patna,Bihar
LKST2897-Delhi_Mahavir Enclave-2,LKST2897,New Delhi,Delhi
LKST289-Shanthi Colony Store,LKST289,Chennai,Tamil Nadu
LKST2900-Vadodara_Gotri,LKST2900,Vadodara,Gujarat
LKST2901-Bangalore_Nagasandra 79,LKST2901,Bengaluru,Karnataka
LKST2903-Mumbai_Thane_Pokharan Road 2,LKST2903,Mumbai,Maharashtra
LKST2904-Pune_Marunji,LKST2904,Pune,Maharashtra
LKST291-Growell Mall Kandivali Store,LKST291,Mumbai,Maharashtra
LKST292-RMZ Mall Store,LKST292,Bengaluru,Karnataka
LKST293-HSR Layout Store,LKST293,Bengaluru,Karnataka
LKST294-SARJAPUR ROAD Store,LKST294,Bengaluru,Karnataka
LKST2967-Gokul Nagar_Vaarahi Complex,LKST2967,Pune,Maharashtra
LKST2968-Imphal_Singjamei_Near Jockey,LKST2968,Imphal,Manipur
LKST2969-Chennai_Madhavaram_MRH Road,LKST2969,Chennai,Tamil Nadu
LKST2970-Chennai_Kottivakkam,LKST2970,Chennai,Tamil Nadu
LKST2973-Kanpur_Indiranagar,LKST2973,Kanpur,Uttar Pradesh
LKST2974-Mumbai _Vashi Palm Beach Road,LKST2974,Mumbai,Maharashtra
LKST2975-Jaunpur_Varanasi,LKST2975,Jaunpur,Uttar Pradesh
LKST2976-Guwahati_Dharapur_Near Firstcry,LKST2976,Dharapur,Assam
LKST2980-Lucknow_Alambagh,LKST2980,Lucknow,Uttar Pradesh
LKST2981-Lucknow_Sarojini Nagar,LKST2981,Lucknow,Uttar Pradesh
LKST2982-Sultanpur_CivilLines,LKST2982,Sultanpur,Uttar Pradesh
LKST2983-Pune_BT Kawade Rd,LKST2983,Pune,Maharashtra
LKST2986-Madurai_Karaikudi_Sekkalai Road,LKST2986,Karaikudi,Tamil Nadu
LKST2987-Banglore_Kudlu gate,LKST2987,Bengaluru,Karnataka
LKST2989-Bhubaneswar_Nayapalli Opposite Titan Eye Plus,LKST2989,Bhubaneswar,odisha
LKST298-Inorbit Mall Vashi,LKST298,Mumbai,Maharashtra
LKST2991-Kolkata Santragachi Near Great Eastern,LKST2991,Howrah,West Bengal
LKST2992-Ankleshwar_Apple Plaza Park,LKST2992,Ankleshwar,Gujarat
LKST2993-Indore_AB Road,LKST2993,Indore,Madhya Pradesh
LKST2995-Surat_Udhana Magadalla road,LKST2995,Surat,Gujarat
LKST2996-Mumbai_Nalasopara East Central Park Road,LKST2996,Mumbai,Maharashtra
LKST2999-Gr Noida_India expo plaza,LKST2999,Noida,Uttar Pradesh
LKST299-Mumbai Airport Store,LKST299,Mumbai,Maharashtra
LKST3000-Moradabad_Ramganga Vihar,LKST3000,Moradabad,Uttar Pradesh
LKST3004-Ghaziabad_gyan khand,LKST3004,Ghaziabad,Uttar Pradesh
LKST3005-Mumbai_Thane_Khopat,LKST3005,Mumbai,Maharashtra
LKST3006-Mumbai_Vasai Ambadi Road,LKST3006,Mumbai,Maharashtra
LKST300-Infiniti Mall Malad Store,LKST300,Mumbai,Maharashtra
LKST3010-Chennai_Paruthipattu,LKST3010,Chennai,Tamil Nadu
LKST3011-Delhi_Vishnu Garden,LKST3011,Delhi,Delhi
LKST3013-Lucknow_Vikas Nagar,LKST3013,Lucknow,Uttar Pradesh
LKST3014-Bhubaneswar_Bapuji Nagar Near Raj Electronics,LKST3014,Bhubaneswar,odisha
LKST3015-Ara_Katira Opposite Chaturbhuj Hospital,LKST3015,Arrah,Bihar
LKST3017-Warje,LKST3017,Pune,Maharashtra
LKST3020-Chennai_Manivakkam_Mudichur Road,LKST3020,Chennai,Tamil Nadu
LKST3021-Bangalore_GM Infinity Road,LKST3021,Bengaluru,Karnataka
LKST3022-Delhi_Pandav Nagar,LKST3022,New Delhi,Delhi
LKST3024-Bhubaneswar_Niladari Vihar Beside Apollo Pharmacy,LKST3024,Bhubaneswar,odisha
LKST3027-Greater noida_Sarawati galleria,LKST3027,Greater Noida,Delhi
LKST3028-Mumbai_Virar New Viva College Road,LKST3028,Virar,Maharashtra
LKST3029-Ravet k town,LKST3029,Pune,Maharashtra
LKST302-LULU Mall Store,LKST302,Kochi,Kerala
LKST3031-Anand_Grid Cross Road,LKST3031,Anand,Gujarat
LKST3032-Surat_Bardoli_Cellista,LKST3032,Bardoli,Gujarat
LKST3033-Kohima_Main Market_Near Miniso,LKST3033,Kohima,Nagaland
LKST3034-Ranchi_Ratu Road,LKST3034,Ranchi,Jharkhand
LKST3037-Raebareli_Kutchery Road,LKST3037,Raebareli,Uttar Pradesh
LKST303-Nucleus Mall Ranchi Store,LKST303,Ranchi,Jharkhand
LKST3042-Visakhapatnam_Srikakulam palakonda Road 17,LKST3042,Srikakulam,Andhra Pradesh
LKST3043-Almora_Mall Road,LKST3043,Almora,Uttarakhand
LKST307-DB Mall Bhopal Store,LKST307,Bhopal,Madhya Pradesh
LKST309-Phoenix Market City Mall Pune,LKST309,Pune,Maharashtra
LKST310-Forum shantiniketan Store,LKST310,Bengaluru,Karnataka
LKST311-Crown Interiorz Faridabad Store,LKST311,Faridabad,Haryana
LKST312-VVIP Mall Ghaziabad,LKST312,Ghaziabad,Uttar Pradesh
LKST313-Prozone Mall Aurangabad,LKST313,Aurangabad,Maharashtra
LKST314-JP Nagar Store,LKST314,Bengaluru,Karnataka
LKST320-Good Earth Gurgaon Store,LKST320,Gurugram,Haryana
LKST321-Amritsar Mall,LKST321,Amritsar,Punjab
LKST324-Satara Road Pune Store,LKST324,Pune,Maharashtra
LKST325-City Center Mall Nasik,LKST325,Nashik,Maharashtra
LKST326-DN Regalia Bhubaneswar Store,LKST326,Bhubaneswar,odisha
LKST327-Mall Of Travancore Store,LKST327,Thiruvananthapuram,Kerala
LKST328-Banashankari 2 Store,LKST328,Bengaluru,Karnataka
LKST32-Aundh Pune Store,LKST32,Pune,Maharashtra
LKST331-Ashok Nagar Udaipur Store,LKST331,Udaipur,Rajasthan
LKST332-Mira Road Mumbai Store,LKST332,Mumbai,Maharashtra
LKST333-Mahagun Mart Store,LKST333,Noida,Uttar Pradesh
LKST334-Pimple Saudagar Pune Store,LKST334,Pune,Maharashtra
LKST335-Kirti Nagar Delhi,LKST335,New Delhi,Delhi
LKST336-MARINAMALL CHENNAI Store,LKST336,Chennai,Tamil Nadu
LKST337-Rajpura Road Dehradun,LKST337,Dehradun,Uttarakhand
LKST338-KAMANAHALLI2 Store,LKST338,Bengaluru,Karnataka
LKST339-Jaipur WTP Store,LKST339,Jaipur,Rajasthan
LKST341-KASAVANAHALLI SARJAPUR Store,LKST341,Bengaluru,Karnataka
LKST344-GIP Mall 2 Store,LKST344,Noida,Uttar Pradesh
LKST345-P&amp;amp;amp;amp;M Mall Jamshedpur,LKST345,Jamshedpur,Jharkhand
LKST346-MANIKONDA HYDERABAD Store,LKST346,Hyderabad,Telangana
LKST347-Korum Mall Thane Store,LKST347,Mumbai,Maharashtra
LKST348-electroniccity2 Bangalore,LKST348,Bengaluru,Karnataka
LKST350-Hulimavu Bangalore Store,LKST350,Bengaluru,Karnataka
LKST351-Ambience Mall Gurgaon Store,LKST351,Gurugram,Haryana
LKST352-Ambuja Mall Raipur,LKST352,Raipur,Chhattisgarh
LKST353-Kandivali Mumbai Store,LKST353,Mumbai,Maharashtra
LKST354-Pallikarnai Chennai Store,LKST354,Chennai,Tamil Nadu
LKST355-GSM MALL HYDERABAD Store,LKST355,Hyderabad,Telangana
LKST356-Junction Mall Durgapur Store,LKST356,Durgapur,West Bengal
LKST358-Sakchi Jamshedpur Store,LKST358,Jamshedpur,Jharkhand
LKST359-KPHB Colony,LKST359,Hyderabad,Telangana
LKST360-Vijayabank Layout Store,LKST360,Bengaluru,Karnataka
LKST361-BOMMANAHALLI Store,LKST361,Bengaluru,Karnataka
LKST364-Seawoods Grand Central Mall,LKST364,Mumbai,Maharashtra
LKST365-PUNE AVENUE 93,LKST365,Pune,Maharashtra
LKST368-Alpha one Ahmedabad Store,LKST368,Ahmedabad,Gujarat
LKST369-Westend Mall Pune Store,LKST369,Pune,Maharashtra
LKST371-Hinjawadi Pune Store,LKST371,Pune,Maharashtra
LKST373-Celebration Mall Udaipur Store,LKST373,Udaipur,Rajasthan
LKST374-vasundhara ghaziabad Store,LKST374,Ghaziabad,Uttar Pradesh
LKST377-Panaji Goa,LKST377,Panaji,Goa
LKST380-Gaur Mall Noida Store,LKST380,Greater Noida,Uttar Pradesh
LKST381-KANAKAPURA ROAD Store,LKST381,Bengaluru,Karnataka
LKST383-VARTHUR ROAD STORE,LKST383,Bengaluru,Karnataka
LKST384-Hazratganj Lucknow Store,LKST384,Lucknow,Uttar Pradesh
LKST386-UTKAL MALL BHUBANESWAR,LKST386,Bhubaneswar,odisha
LKST387-CITY CENTER MALL GUWAHATI,LKST387,Guwahati,Assam
LKST388-Shakespeare Sarani Store,LKST388,Kolkata,West Bengal
LKST389-LENSKART SASTHAMANGALAM,LKST389,Trivandrum,Kerala
LKST390-Kharadi Pune Storel,LKST390,Pune,Maharashtra
LKST391-Sapphire Mall Gurgaon,LKST391,Gurugram,Haryana
LKST392-Ludhiana_Malhar Rd,LKST392,Ludhiana,Punjab
LKST393-AVANI MALL KOLKATA STORE,LKST393,Hooghly,West Bengal
LKST394-LENSKART.COM KAKINADA STORE,LKST394,Kakinada,Andhra Pradesh
LKST397-Logix City Center Noida,LKST397,Noida,Uttar Pradesh
LKST398-ATRIA MALL MUMBAI,LKST398,Mumbai,Maharashtra
LKST400-FORUM NEIGHBOURHOOD MALL,LKST400,Bengaluru,Karnataka
LKST4010-Delhi_Indira Park,LKST4010,New Delhi,Delhi
LKST4013-Kerala_Nilambur,LKST4013,Edakkara,Kerala
LKST4018-Punawale_Kate Vasti,LKST4018,Pune,Maharashtra
LKST4019-Vadodara_Varasia Road,LKST4019,Vadodara,Gujarat
LKST4021-Haridwar_Shivalik Nagar,LKST4021,HARIDWAR,Uttarakhand
LKST4022-Hyderabad Serlingampally gachibowli road,LKST4022,Hyderabad,Telangana
LKST4024-Gopalganj_Kamlarai college road,LKST4024,Gopalganj,Bihar
LKST4025-Raniganj_Durgapur,LKST4025,Raniganj,West Bengal
LKST4026-Agra_MGRoad_Opposite_domino,LKST4026,Agra,Uttar Pradesh
LKST4027-Ghaziabad_Loni,LKST4027,Ghaziabad,Uttar Pradesh
